,station_id,date,avg_temp_c,name,latitude,longitude
79,42724,2020-03-20,26.8,Agartala,23.8354042755,91.2799991445
80,42724,2020-03-21,28.2,Agartala,23.8354042755,91.2799991445
81,42724,2020-03-22,24.7,Agartala,23.8354042755,91.2799991445
82,42724,2020-03-23,25.7,Agartala,23.8354042755,91.2799991445
83,42724,2020-03-24,26.5,Agartala,23.8354042755,91.2799991445
84,42724,2020-03-25,27.4,Agartala,23.8354042755,91.2799991445
85,42724,2020-03-26,29.3,Agartala,23.8354042755,91.2799991445
86,42724,2020-03-27,31.7,Agartala,23.8354042755,91.2799991445
87,42724,2020-03-28,31.9,Agartala,23.8354042755,91.2799991445
88,42724,2020-03-29,30.6,Agartala,23.8354042755,91.2799991445
89,42724,2020-03-30,29.2,Agartala,23.8354042755,91.2799991445
90,42724,2020-03-31,29.4,Agartala,23.8354042755,91.2799991445
91,42724,2020-04-01,29.6,Agartala,23.8354042755,91.2799991445
92,42724,2020-04-02,31.3,Agartala,23.8354042755,91.2799991445
93,42724,2020-04-03,29.8,Agartala,23.8354042755,91.2799991445
94,42724,2020-04-04,29.3,Agartala,23.8354042755,91.2799991445
95,42724,2020-04-05,29.2,Agartala,23.8354042755,91.2799991445
96,42724,2020-04-06,30.9,Agartala,23.8354042755,91.2799991445
97,42724,2020-04-07,32.7,Agartala,23.8354042755,91.2799991445
98,42724,2020-04-08,27.7,Agartala,23.8354042755,91.2799991445
99,42724,2020-04-09,31.1,Agartala,23.8354042755,91.2799991445
100,42724,2020-04-10,32.3,Agartala,23.8354042755,91.2799991445
101,42724,2020-04-11,31.2,Agartala,23.8354042755,91.2799991445
102,42724,2020-04-12,25.9,Agartala,23.8354042755,91.2799991445
103,42724,2020-04-13,30.4,Agartala,23.8354042755,91.2799991445
104,42724,2020-04-14,30.8,Agartala,23.8354042755,91.2799991445
105,42724,2020-04-15,27.8,Agartala,23.8354042755,91.2799991445
106,42724,2020-04-16,29.3,Agartala,23.8354042755,91.2799991445
107,42724,2020-04-17,26.6,Agartala,23.8354042755,91.2799991445
108,42724,2020-04-18,28.8,Agartala,23.8354042755,91.2799991445
109,42724,2020-04-19,30.1,Agartala,23.8354042755,91.2799991445
110,42724,2020-04-20,26.3,Agartala,23.8354042755,91.2799991445
111,42724,2020-04-21,27.2,Agartala,23.8354042755,91.2799991445
112,42724,2020-04-22,27.1,Agartala,23.8354042755,91.2799991445
113,42724,2020-04-23,27.4,Agartala,23.8354042755,91.2799991445
114,42724,2020-04-24,25.6,Agartala,23.8354042755,91.2799991445
115,42724,2020-04-25,27.4,Agartala,23.8354042755,91.2799991445
116,42724,2020-04-26,23.8,Agartala,23.8354042755,91.2799991445
117,42724,2020-04-27,29.2,Agartala,23.8354042755,91.2799991445
118,42724,2020-04-28,25.8,Agartala,23.8354042755,91.2799991445
119,42724,2020-04-29,28.3,Agartala,23.8354042755,91.2799991445
